pokemon_id,donation_date,donation_number_of_pokemon,donation_amount_eur,pokemon_identifier,pokemon_name,pokemon_type
195,2023-12-21,4,85.6,195,Quagsire,water
251,2023-12-28,74,6569.72,251,Celebi,psychic
27,2023-12-30,24,1734.24,27,Sandshrew,ground
267,2023-12-13,36,3584.16,267,Beautifly,bug
511,2023-12-06,74,2797.2,511,Pansage,grass
430,2023-12-02,77,6303.99,430,Honchkrow,dark
607,2023-12-17,51,783.87,607,Litwick,ghost
291,2023-12-21,80,996.0,291,Ninjask,bug
194,2023-12-18,55,3502.95,194,Wooper,water
799,2023-12-25,58,4409.16,799,Guzzlord,dark
412,2023-12-28,76,898.32,412,Burmy,bug
520,2023-12-21,48,2317.92,520,Tranquill,normal
331,2023-12-04,94,9217.64,331,Cacnea,grass
233,2023-12-11,18,302.22,233,Porygon2,normal
174,2023-12-10,12,316.8,174,Igglybuff,normal
787,2023-12-12,68,1410.32,787,Tapu Bulu,grass
279,2023-12-10,84,1949.64,279,Pelipper,water
660,2023-12-15,3,212.94,660,Diggersby,normal
95,2023-12-21,91,886.34,95,Onix,rock
799,2023-12-07,80,2160.0,799,Guzzlord,dark
548,2023-12-08,68,3101.48,548,Petilil,grass
352,2023-12-25,20,1549.6,352,Kecleon,normal
156,2023-12-06,60,5679.6,156,Quilava,fire
470,2023-12-20,64,1811.84,470,Leafeon,grass
673,2023-12-15,88,6100.16,673,Gogoat,grass
199,2023-12-18,54,3372.3,199,Slowking,water
692,2023-12-20,84,3042.48,692,Clauncher,water
688,2023-12-24,55,2439.25,688,Binacle,rock
394,2023-12-01,38,2101.4,394,Prinplup,water
599,2023-12-08,51,4766.97,599,Klink,steel
200,2023-12-31,57,2700.66,200,Misdreavus,ghost
275,2023-12-09,87,258.39,275,Shiftry,grass
789,2023-12-09,52,2563.08,789,Cosmog,psychic
6,2023-12-31,38,2272.4,6,Charizard,fire
649,2023-12-23,15,136.2,649,Genesect,bug
541,2023-12-18,2,190.68,541,Swadloon,bug
271,2023-12-05,74,2371.7,271,Lombre,water
662,2023-12-21,89,593.63,662,Fletchinder,fire
307,2023-12-01,78,7535.58,307,Meditite,fighting
541,2023-12-12,15,1428.9,541,Swadloon,bug
659,2023-12-25,10,956.9,659,Bunnelby,normal
346,2023-12-13,51,4321.74,346,Cradily,rock
293,2023-12-27,70,5622.4,293,Whismur,normal
798,2023-12-06,49,1694.42,798,Kartana,grass
656,2023-12-11,39,152.49,656,Froakie,water
658,2023-12-17,8,178.48,658,Greninja,water
290,2023-12-07,55,5327.3,290,Nincada,bug
729,2023-12-19,91,945.49,729,Brionne,water
552,2023-12-07,40,3782.0,552,Krokorok,ground
562,2023-12-02,25,2224.0,562,Yamask,ghost
21,2023-12-10,97,8894.9,21,Spearow,normal
735,2023-12-30,45,4303.35,735,Gumshoos,normal
774,2023-12-01,83,7271.63,774,Minior,rock
362,2023-12-12,57,181.83,362,Glalie,ice
45,2023-12-11,46,1397.48,45,Vileplume,grass
712,2023-12-13,65,3551.6,712,Bergmite,ice
488,2023-12-08,81,4740.12,488,Cresselia,psychic
45,2023-12-05,18,982.62,45,Vileplume,grass
776,2023-12-31,54,3338.82,776,Turtonator,fire
658,2023-12-31,48,4596.0,658,Greninja,water
362,2023-12-10,28,2306.64,362,Glalie,ice
590,2023-12-19,19,317.68,590,Foongus,grass
729,2023-12-20,49,1399.44,729,Brionne,water
282,2023-12-20,43,363.78,282,Gardevoir,psychic
310,2023-12-21,78,4678.44,310,Manectric,electric
713,2023-12-02,84,2623.32,713,Avalugg,ice
315,2023-12-03,2,187.32,315,Roselia,grass
320,2023-12-19,24,396.24,320,Wailmer,water
152,2023-12-10,32,950.08,152,Chikorita,grass
595,2023-12-11,72,5747.76,595,Joltik,bug
264,2023-12-21,17,749.02,264,Linoone,normal
770,2023-12-16,83,3336.6,770,Palossand,ghost
